"Priority","Company","Market","Website","Public email","Public phone","Product match","Why it fits","Recommended opening","Status","Checked"
"A1","Allwood Trading Co. FZE","Sharjah, UAE","https://www.allwoodtrading.com/","supply@allwoodtrading.com","+971 6 524 9010","Film faced plywood; LVL scaffold boards","Website explicitly invites suppliers and already sources Chinese poplar/combi-core panels","Offer an OEM film-faced plywood and LVL supply comparison based on their existing 18 mm and scaffold-board range","Follow-up 1 sent","2026-08-18"
"A2","Ace Timber Trading Co. LLC","Dubai, UAE","https://acetimbertrading.com/","info@acetimbertrading.com","+971 50 515 7731; +971 4 224 9065","Film faced plywood; PP green plywood; commercial plywood","Company states it supplies imported commercial and film-faced plywood to construction and fit-out buyers","Lead with PP green plywood and stable 18 mm film-faced plywood; ask about current core, film weight and reuse target","Follow-up 1 sent","2026-08-18"
"A3","Tawreed Trade","UAE","https://www.tawreedtrade.com/products/","order@tawreed.ae","+971 50 455 1506","Film faced plywood; PP plastic plywood; LVL scaffold boards","Its current range closely matches Yongxiang's construction-panel portfolio","Offer full-hardwood, combi and poplar options plus private-label PP plywood","Follow-up 1 sent","2026-08-18"
"A4","Emirates Trading Enterprises LLC","Ajman, UAE","https://etedubai.com/","rakesh@etedubai.com","+971 50 646 7885","Film faced; commercial; melamine plywood; MDF panels","It carries several of Yongxiang's main categories and appears to be an established panel trader","Start with a mixed-container proposal covering film-faced and commercial plywood","Follow-up 1 sent","2026-08-18"
"A5","TAB Gulf","Dubai, UAE","https://tabgulf.ae/flim/","orders@tabgulf.ae","+971 4 224 9096","Film faced plywood","Publishes detailed core, glue, film-weight, colour and size choices that match factory customization","Ask which 18 mm core and film-weight combinations move fastest, then quote matching options","Follow-up 1 sent","2026-08-18"
"A6","Trade Circle Enterprises LLC","Dubai, UAE","https://tce-group.ae/products/film-faced-marine-plywood-2/","marketing@tce-group.com","+971 55 472 2672","Film faced and marine plywood","Lists China as an existing origin and sells standard 12 mm and 18 mm formwork panels","Offer China-origin 12/18 mm WBP panels with batch inspection and private-label packing","New lead","2026-08-14"
"B1","Duplast General Trading LLC","Ajman, UAE","https://duplastgt.com/products.html","info@duplastgt.com","+971 6 743 3976","Film faced shutter plywood; commercial plywood; formwork accessories","Carries both construction plywood and formwork accessories","Lead with standard shuttering plywood and mixed-container capability","New lead","2026-08-14"
"B2","Sanco Building Materials Trading LLC","Sharjah, UAE","https://sanco.ae/product-category/plywood/","","+971 6 805 2564; +971 54 394 5555","Chinese commercial plywood; film faced plywood","Already stocks China-origin commercial plywood and several film-faced product lines","Use WhatsApp or contact form to ask for the plywood purchasing contact before sending the catalog","New lead","2026-08-14"
"B3","Orgean FZE","Dubai, UAE","https://www.orgean.com/services/scaffolding-trading/","info@orgean.com","+971 58 260 4043","H20 beams; LVL beams; plywood; formwork accessories","Actively promotes LVL H20 beams and plywood to UAE contractors","Send a technical H20/LVL specification sheet first; avoid a general all-products introduction","New lead","2026-08-14"
"B4","Ace Scaffoldings","Abu Dhabi and Dubai, UAE","https://acescaffoldae.com/aluminium-beam/","sales@acescaffolduae.com","+971 2 551 3511; +971 50 617 7346","H20 timber beams","Direct H20 supplier serving major UAE construction markets","Approach only with verified H20 strength, dimensions, coating, end protection and test documentation","New lead","2026-08-14"
"C1","FANERAOPT.KZ","Almaty, Kazakhstan","https://faneraopt.kz/","koltkov@mail.ru","+7 727 386 10 10","Film faced plywood; construction plywood","Plywood is its main product line and the company supplies wholesale buyers from its own warehouse","Ask for its fastest-moving thickness, core and film specifications","Initial email sent","2026-08-18"
"C2","БИРГЕ ГРУПП","Bishkek, Kyrgyzstan","https://birgegroup.kg/","info@birgegroup.kg","+996 990 900 500","Film faced plywood; H20 beams; formwork systems","Major supplier of monolithic-construction materials with a close match to the factory portfolio","Lead with 18 mm film-faced plywood and H20 beam specifications","Initial email sent","2026-08-18"
"C3","CAPITAL TRADING COMPANY LLC","Tashkent, Uzbekistan","https://capital-trading.gl.uz/","rr07051971@gmail.com","+998 97 450 76 66; +998 90 828 17 77","Film faced plywood; waterproof plywood; timber","States that it imports plywood directly from Russia and China and serves wholesale buyers","Ask which China-origin plywood and volume it currently purchases","Initial email sent","2026-08-18"
"C4","Fanerra","Moscow, Russia","https://fanerra.ru/catalog/fanera-kitay","info@fanerra.ru","+7 495 748 03 64","Chinese poplar film faced plywood","Explicitly sells China-origin 2440 x 1220 mm film-faced plywood in 18 and 21 mm","Ask whether it is reviewing new Chinese manufacturers and request target specifications","Initial email sent","2026-08-18"
"C5","СтройЛес","Moscow, Russia","https://www.mosstroyles.ru/catalog/fanera/fanera-laminirovannaya/","mosstroyles@mail.ru","+7 495 258 99 88; +7 495 720 05 74","Chinese poplar film faced plywood","Lists Chinese poplar F/F panels in 18 and 21 mm and sells wholesale and retail","Ask for current 18/21 mm core, film and volume requirements","Initial email sent","2026-08-18"
"D1","Safari Group","Perth, Australia","https://www.safarigroup.com.au/formwork/formply","sales@safarigroup.com.au","+61 8 9455 1144","F17 structural formply; non-structural formply; LVL formwork timber","Major Australian importer and distributor with both certified structural and lower-cost non-structural ranges","Ask first about non-structural formply demand; discuss F17 only if product-specific AS 6669 and AS 2269 documents are verified","Initial email sent","2026-08-20"
"D2","Formply Australia","Australia","https://formplyaustralia.com.au/about/","info@formplyaustralia.com.au","1800 367 675","F17 Class 2 structural formply; LVL timber","Specialist formwork wholesaler that states it is continually reviewing new products","Contact only after confirming product-specific AS/NZS and FSC documentation; request its supplier qualification requirements","Initial email sent","2026-08-20"
"D3","Nassguard Trading","Dammam, Saudi Arabia","https://nassguard.sa/product/film-faced-plywood-in-jeddah/","hello@nassguard.sa","+966 54 173 5775","Brown and black film faced plywood; phenolic plywood; wood panels","Supplies 12/15/18 mm film-faced plywood for shuttering and concrete formwork across Saudi regions","Ask for current 18 mm core, film colour, film weight and monthly stock requirement","Initial email sent","2026-08-20"
"D4","Yaqoot Arabia Trading Company (Yatco Gulf)","Dammam, Saudi Arabia","https://www.yatcogulf.com/film-faced-plywood-supplier-in-saudi-arabia.php","sales@yatcogulf.com","+966 57 044 0657","Film faced plywood for formwork and shuttering","Explicitly supplies film-faced sheets in bulk to contractors and developers across Saudi Arabia","Offer 18 mm poplar/combi/hardwood options and ask for target core, film and reuse requirement","Initial email sent","2026-08-20"
"D5","Saplings Timber Trading","Cape Town, South Africa","https://www.saplings.co.za/boards-film-face","info@saplings.co.za","+27 21 931 2663","Chinese and Brazilian film face plywood; anti-slip plywood","Wholesale importer already sells Chinese 2440 x 1220 mm film-faced plywood in 18 and 21 mm","Ask which Chinese 18/21 mm species, core and brand specification it currently stocks","Initial email sent","2026-08-20"
"D6","Marine Boards Kenya","Nairobi, Kenya","https://marineboards.co.ke/contact.html","info@marineboards.co.ke","+254 745 111 039","Marine boards; plywood; OSB; blockboard; MDF; particleboard","Engineered-panel specialist with a broad range matching several Linstar product categories","Lead with 18 mm marine/formwork plywood, then ask which panel categories it imports directly","Initial email sent","2026-08-20"
"D7","Kamowood Limited","Accra, Ghana","https://kamowoodltd.com/marine-plywood/","bachar@kamowoodltd.com","+233 57 762 0000; +233 50 420 2080","18 mm marine plywood; wood panels","Stocks several branded brown, black and red 1220 x 2440 x 18 mm marine plywood lines","Ask for core, glue, surface and monthly volume of its fastest-moving 18 mm board","Initial email sent","2026-08-20"
"D8","Feranliz Wood Limited","Lagos, Nigeria","https://feranlizwood.com/building-materials/","sales@feranlizwood.com","+234 806 616 1426","H20 timber beams; marine plywood; formwork equipment","Supplies trade quantities of H20 beams and 17/18/20 mm marine boards to contractors nationwide","Lead with H20 lengths and 18 mm formwork plywood; request current technical and volume requirements","Initial email sent","2026-08-20"
"E1","MEGA Oman","Salalah, Oman","https://www.megaoman.com/building-materials/","info@mega-oman.com","+968 2321 2714","China-origin film faced plywood; commercial plywood; MDF","Wholesaler listing China-origin film-faced plywood from 9 to 25 mm and several other panel categories","Ask for its fastest-moving China-origin thickness, core, film and monthly volume","Initial email sent","2026-08-21"
"E2","Sterling General Trading Co LLC (SGT Oman)","Sohar, Oman","https://sgtoman.com/single_product/test-product/","info@sgtoman.com","+968 9236 3598; +968 9949 3573","Film faced plywood; construction materials","Importer of materials from Europe and Asia with a dedicated film-faced plywood product line","Ask for current formwork-panel origin, core, film and stock requirements","Initial email sent","2026-08-21"
"E3","Globtek Trading & Services","Doha, Qatar","https://globtekqatar.com/building-materials/","sales@globtekqatar.com","+974 4466 1544; +974 3003 9962","Film faced plywood; decorative plywood; timber","Building-material supplier with dedicated film-faced and decorative plywood categories","Offer film-faced and decorative panel options and ask which category it imports directly","Initial email sent","2026-08-21"
"E4","Fame International","Doha, Qatar","https://fameholding.com/civil.html","info@fameholding.com","+974 4411 7001; +974 3311 1597","Film faced plywood; construction plywood; MDF; hardwood","Supplies commercial construction projects with plywood, MDF and other civil materials","Lead with 18 mm formwork plywood and mixed-panel container capability","Initial email sent","2026-08-21"
"E5","Atlal Al-Khaleej Trading & Decoration Co.","Doha, Qatar","https://www.atlalkhaleej.com/products","atlal.alkhaleej.local@gmail.com","+974 4460 2068","Plywood; blockboard; MDF; solid timber","Established local building-material dealer with a dedicated wood-product division","Ask which plywood, blockboard and MDF specifications it currently sources from Asia","Initial email sent","2026-08-21"
